,NIC,2024-03-07,2024-03-08,2024-03-09,2024-03-10,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-16,2024-03-17,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-23,2024-03-24,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-03-30,2024-03-31,2024-04-01,2024-04-11,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30,2024-05-01,2024-05-02,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-18,2024-05-19,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-25,2024-05-26,2024-05-27,2024-05-28
11,605454840,39.101875,0,39.130624999999995,39.144375,39.1575,39.1725,39.186875,39.20625,39.22125,39.238125,39.255625,39.271249999999995,39.287499999999994,39.303125,39.319375,39.334375,39.35,39.36625,39.380625,39.395625,39.411249999999995,39.42625,39.44,39.453125,39.46875,39.481875,39.635,39.6425,39.651250000000005,39.668125,39.685,39.698750000000004,0,39.730000000000004,39.743125,39.758125,39.7725,0,39.8025,39.815625,39.829375,39.8425,39.856875,39.871875,39.886875,39.900625,39.91375,39.929375,39.9425,39.971875,39.9875,40.0,40.01375,40.03,40.044375,40.058125000000004,40.074375,40.0925,40.10625,40.120625,40.134375,40.176874999999995,40.191874999999996,40.205625,40.221250000000005,40.23625,40.24875,40.26375,40.27875,40.2925,40.30500000000001,40.31875
12,605455527,360191.61,360321.48,360463.41,360601.33999999997,360723.11,360849.65,360979.86,361114.57999999996,361241.75,361386.01999999996,361533.95,361662.89,361800.57,361928.16000000003,362071.53,362208.79,362349.86,362493.20999999996,362612.0,362732.19999999995,362863.04000000004,362984.97,363103.48000000004,363214.29,363352.57,363440.92000000004,364679.77,364750.85000000003,364820.58,364978.67,365124.99000000005,365245.18999999994,0,365524.22,365651.49,365790.62,365925.43000000005,191069.993125,191112.818125,191154.623125,191201.54875,191232.89250000002,191260.31625,191289.0,191319.04375,191343.186875,191369.87000000002,191395.85374999998,191419.3975,191471.70437499997,191501.048125,191523.75125,191552.375,191579.27874999997,191604.481875,191627.78499999997,191655.84875,191688.953125,191717.45687499997,191742.7,191768.323125,191845.833125,191863.69499999998,191888.97875,191918.1825,191945.66562500002,191974.12937500002,192001.37312499998,192030.516875,192056.49999999997,192079.603125,192105.56625
13,605456304,26439.188125,26439.194375,26439.200624999998,26439.206875,26439.2125,26439.218125,26439.22375,26439.230000000003,26439.235625,26439.241875,26439.24875,26439.254374999997,26439.260625000003,26439.266875,26439.273125,26439.279375,26439.286249999997,26439.2925,26439.298125,26439.304375,26439.310625000002,26439.31625,26439.322500000002,26439.328125,26439.334375000002,26439.338125000002,26439.394375,26439.398125,26439.400625000002,26439.408125,26439.414375,26439.420000000002,0,26439.432500000003,26439.438125,26439.444375,26439.451875,201435.67500000002,201510.68625000003,201579.73625000002,201659.80625000002,201711.93625000003,201759.18625000003,201808.64625,201860.50625000003,201902.05625000002,201947.38625000004,201992.93625000003,202033.90625,202122.90625,202173.13625000004,202211.03625,202259.35625,202305.07624999998,202347.44624999998,202384.45625,202431.37625000003,202485.95625,202534.7475,202578.1775,202621.16749999998,202751.7475,202778.47749999998,202820.71750000003,202869.08749999997,202914.70750000002,202961.6875,203006.9975,203054.9875,203096.3775,203134.38875,203177.29875
14,605457191,40650.421875,40651.86125,40653.339374999996,40654.9,40656.37562499999,40657.98,40659.575,40661.215625,40662.748125,40664.34375000001,40665.910625000004,40667.18812499999,40668.759375,40669.490625,40670.21812499999,40670.903125000004,40671.625625,40672.35375,40672.98375,40673.778750000005,40675.020000000004,40676.662500000006,40678.03875000001,40679.03,40680.03125,40681.590625,40693.11375,40693.856250000004,40694.689375,40696.4125,40698.0975,40699.790625,0,40702.7025,40703.4675,40704.168125000004,40705.549999999996,40707.11,40708.44125,40709.981875000005,40711.49937499999,40712.583125000005,40713.921875,40715.276874999996,40716.488125,40717.455,40719.03375,40720.50750000001,40721.65875,40724.58125,40726.05375000001,40727.215000000004,40728.7825,40730.35375000001,40732.025,40733.7125,40735.21000000001,40736.723750000005,40737.733125,40738.7975,40740.112499999996,40743.971249999995,40745.28625,40746.3325,40747.579999999994,40748.969999999994,40750.38375,40751.7875,40753.23125,40754.62374999999,40755.620625,40756.899375
15,605458978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582167.87,582363.26,582539.94,582729.09,582915.52,583111.45,583309.9400000001,583506.56,583695.3,583884.81,584072.64,584260.3400000001,584635.93,584826.01,749399.04,749647.78,749906.9199999999,750149.9199999999,750368.0,750619.94,750883.84,751136.34,751396.24,751642.98,752382.1000000001,752633.04,752897.54,753155.9199999999,753417.12,753674.74,753936.8400000001,754192.3600000001,754419.1799999999,754647.8,754900.94
16,605459755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396946.52999999997,397082.285,397209.215,397342.215,397471.67,397610.90499999997,397633.77,397754.45499999996,397884.575,397974.125,398108.175,398212.04000000004,398441.06500000006,398551.69,234238.70500000002,234307.72999999998,234391.10499999998,234463.155,234535.065,234615.61500000002,234552.475,234624.265,234671.795,234729.59000000003,234863.65000000002,234938.49,235008.67,235087.665,235159.39,235230.885,235305.07,235382.935,235453.005,235517.45500000002,235590.64500000002
17,605460591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381672.39,381794.03,381923.26,382051.885,382182.69000000006,382319.01,382455.975,382597.175,382718.14,382845.94,382982.61,383108.56499999994,383379.4,383518.905,485629.52,485797.27,486001.16000000003,486177.46,486357.0,486562.81,486778.39,486953.79,487130.97,487308.77,487855.37,488042.64,488212.54000000004,488409.94,488588.69,488764.32,488942.08999999997,489131.24,489313.85,489473.16,489656.99
18,605461378,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260711.99,260806.35,260907.0,261005.1,261103.25,261206.77000000002,261311.72999999998,261419.77999999997,261514.07,261612.8,261717.52,261816.92,262025.07,262132.75999999998,264357.325,264449.51,264531.08499999996,264621.0,264706.41,264794.14,264894.19,264994.795,265092.47,265182.03,265435.615,265532.89,265630.76999999996,265725.06999999995,265820.385,265912.91000000003,266008.375,266105.47000000003,266203.54500000004,266301.065,266392.545
19,605462155,17858.791875000003,17876.274375,17896.151250000003,17918.181875000002,17942.2925,17960.505624999998,17979.2175,17997.42,18014.235,18032.923125,18055.4125,18081.365625,18099.46375,18117.983125,18135.628125,18153.919374999998,18173.141875,18195.379999999997,18219.2875,18242.715,18264.0875,18284.12,18306.1,18328.335,18348.613125,18372.215,18557.045625,18564.085625,18574.603750000002,18594.247499999998,18615.5775,18638.830625000002,18656.579375,744544.26,744806.3,745081.78,745340.22,18743.890625,18766.219375,18782.180625,18798.990625,18815.15625,18832.18875,18851.124375,18873.33875,0,0,0,0,0,19010.28875,19033.713750000003,19051.855625000004,19070.315625,19086.753750000003,19104.165625,19122.8125,19144.31125,19167.6,19190.515,19208.50625,19261.458124999997,19282.2725,19304.96875,19321.8275,19339.2275,19356.38875,19373.7675,19392.44625,19411.113749999997,19433.7875,19450.541250000002
20,605463932,52117.32,52178.835,52234.6275,52289.60249999999,52343.48125,52400.49250000001,52462.165,52525.455,52585.155,52644.3475,52704.375,52753.47749999999,52808.18875,52870.69125,52936.535,52999.70125,53057.206249999996,53114.02875,53165.92875,53218.708750000005,53273.72875,53320.11875,53361.3925,53403.86125,53459.361249999994,53510.119999999995,54073.503749999996,54111.44624999999,54136.95,54203.3425,54258.333750000005,54308.861249999994,54361.36749999999,233306.35499999998,233379.345,233455.6,233456.895,54612.745,54638.67125,54667.471249999995,54700.00874999999,54732.8725,54762.75875,54794.19499999999,54826.20375,0,0,0,0,0,55035.8125,55071.340000000004,55102.151249999995,55151.43125,55193.53125,55237.354999999996,55287.5875,55345.82125,55392.97625,55443.902500000004,55507.29125,55680.28,55736.93,55790.05,55847.005000000005,55913.70375,55980.23625,56057.57000000001,56109.5475,56169.618749999994,56226.167499999996,56274.59
