,NIC,2023-02-08,2023-02-17,2023-02-18,2023-02-19,2023-02-19,2023-02-19,2023-02-19,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-24,2023-03-25,2023-03-26,2023-03-27
10,605453063,269692.39,270136.405,270136.505,270198.07999999996,270204.56,270229.05000000005,0,270252.34,270252.56,270306.005,270358.44,270409.025,270460.03500000003,270478.685,270525.095,270588.0,270638.445,270697.245,270755.71,270809.77,270868.805,270869.095,270934.74,271003.28500000003,271056.98,271119.02,271175.5,271233.94,271242.755,271567.29000000004,271576.425,271625.435,271674.93,271683.05,271789.815,271798.63,271858.145,271865.91000000003
11,605454840,34.399375000000006,34.486875000000005,34.486875000000005,34.499375,34.5,34.505625,0,34.510625000000005,34.510625000000005,34.52125,34.5325,34.54375,34.554375,34.557500000000005,34.568125,34.58125,34.59125,34.603125,34.615,34.625625,34.6375,34.6375,34.65125,34.665000000000006,34.675625,34.6875,34.699375,34.711875,34.711875,34.7725,34.77375,34.784375,34.795,34.795625,34.816875,34.816875,34.82875,34.82875
12,605455527,317632.245,318359.795,318359.805,318436.91000000003,318444.915,318475.79,0,318503.10500000004,318503.10500000004,318581.815,318656.565,318729.81,318809.40499999997,318834.475,318891.37,318964.77,319055.005,319188.125,319320.92000000004,319445.09500000003,319583.89499999996,319583.89499999996,319716.585,319852.1,319961.405,320086.35,320205.495,320332.275,320447.445,321363.57,321481.89,321585.32499999995,321697.52999999997,321826.52,322060.97,322176.5,322298.165,322413.5
13,605456304,26437.21875,26437.249375,26437.249375,26437.252500000002,26437.253125000003,26437.254375,0,26437.255,26437.255,26437.258125,26437.2625,26437.265,26437.268125000002,26437.269375,26437.271249999998,26437.274375,26437.27875,26437.284375,26437.29,26437.295,26437.301249999997,26437.301874999997,26437.306875000002,26437.3125,26437.316874999997,26437.321875,26437.3275,26437.334375,26437.339375,26437.380624999998,26437.386875,26437.391875,26437.396875,26437.402500000004,26437.414375,26437.419374999998,26437.425,26437.43
14,605457191,39991.119375,40024.07062500001,40024.07062500001,40026.841875,40027.603124999994,40028.644375,0,40029.281875,40029.281875,40032.709375000006,40035.60375,40038.16125,40041.32624999999,40042.651249999995,40044.299999999996,40047.68875,40051.288125,40055.195,40058.766874999994,40062.170625000006,40065.735,40065.735,40069.210625,40073.074375000004,40075.55375,40078.8225,40082.416874999995,40086.284375,40089.57375,40114.560625,40117.953125,40120.606875,40123.683125,40127.45875,40134.761875,40137.805625,40141.26624999999,40144.0
15,605458978,637360.15,639620.52,639620.52,639829.28,639851.06,639920.23,0,639987.45,639987.45,640152.5399999999,640396.28,640574.96,640789.05,640852.8,641004.96,641189.6799999999,641386.1799999999,641583.31,641800.55,641999.22,642179.03,642179.05,642427.34,642686.9,642897.83,643108.6200000001,643289.74,643498.9,643667.14,644789.13,644974.14,645140.9299999999,645294.9299999999,645479.97,645862.84,646027.1,646217.35,646369.88
16,605459755,206053.5675,206627.9725,206628.285,206700.25,206708.7075,206737.3,0,206764.0975,206764.7275,206829.11500000002,206889.7825,206949.07,207009.34000000003,207032.9925,207086.015,207158.38,207216.45750000002,207286.495,207356.8375,207422.1725,207492.175,207493.02000000002,207568.7,207649.5425,207713.595,207777.9325,207846.04,207915.43,207978.3075,208488.98249999998,208560.9975,208620.54499999998,208680.38249999998,208746.51750000002,208875.86000000002,208927.5625,208997.59,209060.4075
17,605460591,405659.4600000001,407445.80000000005,407445.84,407619.0,407635.88,407703.24,0,407768.37,407768.47,407934.17999999993,408095.73,408251.77,408412.30999999994,408482.20999999996,408611.77,408794.11,408946.62,409121.57999999996,409298.03,409453.77999999997,409621.93,409622.07,409804.02999999997,409993.6699999999,410144.51,410326.33999999997,410491.98,410656.13,410812.0,412072.81000000006,412249.82999999996,412394.33999999997,412538.82999999996,412705.25,413026.57999999996,413197.48,413367.02999999997,413515.20999999996
18,605461378,215937.135,217122.66000000003,217130.615,217239.78499999997,217287.3,217318.355,0,217346.08000000002,217363.49,217472.835,217583.935,217692.81,217802.785,217855.15500000003,217917.88999999998,218040.37,218168.88,218273.05,218374.22500000003,218482.47500000003,218595.68,218619.41,218717.005,218842.96,218950.005,219047.63,219152.78,219263.89,219364.69,220200.58500000002,220315.265,220441.305,220555.2,220659.995,220867.4,220971.195,221086.875,221200.46000000002
19,605462155,9973.057499999999,10171.435000000001,10172.02375,10195.380625,10200.11625,10208.57875,0,10219.032500000001,10220.20125,10237.463749999999,10255.96625,10272.415,10290.491875,10294.93875,10309.34625,10334.229374999999,10359.85875,10379.14375,10398.244999999999,10417.567500000001,10436.4775,10437.29625,10455.935,10481.01625,10505.2575,10522.43625,10541.119999999999,10560.349375000002,10577.76125,10733.746875,10756.595625,10781.510625,10803.873125,10821.795,10856.75375,10876.65625,10905.524374999999,10933.51375
