,NIC,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-07,2022-06-13,2022-06-20,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-24
17,605464719,960351.1799999999,960529.2,960697.1599999999,960848.5799999998,961010.8600000001,961159.1199999999,961314.72,961491.72,961681.86,961836.04,965238.72,965405.0,965600.44,965801.26,965966.9199999999,966129.96,966329.2799999999,966512.1799999999,966678.28,966848.24,0,0,0,970542.38,970708.2999999999,970889.3800000001,971080.28,971273.36,971447.5599999999,971614.6000000001,971782.9,971947.5799999998,972101.56,0,0
18,606562771,116111.7825,116111.9025,116112.0,116112.105,116112.1925,116112.3025,116112.4325,116112.57999999999,116112.6875,116112.79250000001,116115.225,116115.3225,116115.4475,116115.5625,116115.67000000001,116115.76750000002,116115.87,116115.99,116116.1,116116.2175,116116.4625,116117.1275,116117.9425,116118.71,116118.8225,116118.905,116118.965,116119.03,116119.10750000001,116119.185,116119.23999999999,116119.3,116119.3725,116119.47,116120.34
19,606563558,42949.686875,42991.249375,43029.799375,43072.12625,43119.0075,43165.893125,43206.697499999995,43247.409999999996,43290.805625,43332.443125,44268.181874999995,44309.77,44354.149999999994,44388.728125,44404.958750000005,44418.200625,44437.074375,44454.04875,44491.161875000005,44529.98,44609.52375000001,44730.820625,44914.99,45189.78875,45231.10125000001,45269.429375,45309.631875,45350.72375,45391.97625,45434.13125,45478.4925,45523.389375,45567.57125,45609.831875,46272.818125000005
20,606564335,148503.96125,148732.96125,148921.371875,149138.04499999998,149336.66875,149639.48875000002,150008.28125,150426.15937500002,150736.9475,151028.225,157783.08312499998,158063.593125,158389.16874999998,158716.05000000002,159008.57499999998,159290.79124999998,159579.53437500002,159898.26187500003,160205.601875,160531.78625,161187.75750000004,163018.54687499997,165280.550625,167484.5725,167808.01125,168061.866875,168262.033125,168469.79687499997,168716.039375,168957.431875,169144.7375,169346.555,169571.7,169846.799375,172898.323125
21,606565012,14662.779375,14662.924374999999,14663.054375,14663.19625,14663.33125,14663.466250000001,14663.614375000001,14663.766875000001,14663.909375,14664.04375,14667.0875,14667.2275,14667.37875,14667.519375,14667.655,14667.7925,14667.934375,14668.08,14668.241875,14668.395,14668.688750000001,14669.549375,14670.595625,14671.599375,14671.7375,14671.875625,14672.00375,14672.141875000001,14672.280625,14672.420624999999,14672.550625,14672.681250000001,14672.81875,14672.961874999999,14675.175625
22,606566809,246051.425,246106.72499999998,246144.71500000003,246184.31,246234.87499999997,246289.035,246340.175,246397.995,246456.125,246506.99,247613.475,247661.35499999998,247709.53500000003,247755.255,247797.055,247845.11500000002,247896.15000000002,247944.35,247991.99,248056.98,248177.88,248479.45500000002,248787.11500000002,249123.505,249179.15500000003,249236.79499999998,249295.91999999998,249360.46000000002,249426.305,249473.575,249534.47499999998,249589.685,249650.125,249718.68,250556.01
23,606567686,435865.94,436024.89,436163.98,436314.33999999997,436470.64999999997,436608.85000000003,436765.62000000005,436922.75,437074.75,437215.09,440473.11000000004,440638.59,440802.9,440943.98,441076.83999999997,441224.43000000005,441377.37,441533.93,441729.13999999996,441894.22,442198.78,443140.88,444311.63,445400.89999999997,445546.92000000004,445709.97000000003,445855.66000000003,446021.12,446187.06000000006,446349.38999999996,446500.37,446644.33,446807.47,446970.15,449652.63
24,606568463,99791.38750000001,99791.42125,99791.44625000001,99791.47375,99791.5075,99791.54375,99791.575,99791.6075,99791.64125000002,99791.67374999999,99792.38875,99792.42,99792.44875,99792.47624999999,99792.49124999999,99792.5075,99792.52625,99792.54250000001,99792.56875,99792.60625000001,99792.6725,99792.79250000001,99792.945,99793.1575,99793.19125,99793.2225,99793.25875000001,99793.295,99793.33375,99793.365,99793.405,99793.43875,99793.47750000001,99793.51749999999,99794.03
25,606569240,51221.065,51236.28125,51249.505625,51272.769374999996,51288.136875000004,51301.33125,51317.40125,51343.04625,51364.298125,51378.15125,51749.499375,51765.389375,51788.465625,51801.479375,51816.74375,51828.61625000001,51841.615625,51855.449375,51868.271875000006,51883.980625,51914.5075,52020.105,52151.16500000001,52265.82375,52280.93625,52298.48375,52315.376875,52343.215625,52363.21062500001,52381.54875,52399.313125,52415.544375,52430.068125,52445.15625,52734.41
26,606570086,116057.44687500001,116076.02437500001,116093.625625,116113.22750000001,116131.73000000001,116149.60999999999,116169.171875,116188.200625,116208.10187500001,116225.795625,116617.41125,116635.28062500001,116654.55187499999,116671.145625,116685.98937499999,116702.1575,116718.80187500002,116735.481875,116752.63249999999,116770.361875,116803.48812499999,116906.06437499999,117022.813125,117136.43375,117151.22812500001,117168.98375000001,117185.794375,117203.04,117220.68000000001,117239.5725,117257.71375,117275.699375,117297.550625,117318.24312500001,117622.89687499999
