,NIC,2022-11-09,2022-11-10,2022-11-11,2022-11-12,2022-11-13,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-18,2022-11-19,2022-11-20,2022-11-21,2022-11-22,2022-11-23,2022-11-26,2022-11-27,2022-11-28,2022-11-29,2022-11-30,2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-20,2022-12-21,2022-12-22,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-02-08
10,605453063,265330.57,265394.43,265450.68,265462.01,265527.56,265579.9,265633.03,265681.41000000003,265741.91000000003,265800.59500000003,265866.08999999997,265929.69,265984.23,266043.435,266055.86,0,0,266266.68,266324.05500000005,266378.65,266434.805,266490.79000000004,266560.62,266627.735,266809.27999999997,266821.005,266897.465,266956.82999999996,267016.205,267077.84,267147.885,267160.07,267230.355,267252.29,267318.585,267396.71,267979.145,268034.09,268078.275,268087.70999999996,268115.185,268155.51,268194.935,268248.735,268283.275,268337.58999999997,268392.12,268456.5,268514.725,268564.13,268621.665,268667.4,268714.08499999996,268828.055,268882.575,268934.22000000003,268983.39,269036.45999999996,269692.39
11,605454840,33.54,33.55375,33.565,33.565,33.57875,33.589375000000004,33.600625,33.61,33.6225,33.635000000000005,33.64875,33.661875,33.67375,33.68625,33.68625,0,0,33.72625,33.739374999999995,33.750625,33.761875,33.773125,33.7875,33.801249999999996,33.830625,33.830625,33.846875,33.859375,33.871875,33.884375,33.89875,33.89875,33.91375,33.91375,33.927499999999995,33.944375,34.0625,34.074374999999996,34.083124999999995,34.083124999999995,34.086875,34.094375,34.10187500000001,34.113125,34.120000000000005,34.13125,34.14125,34.154375,34.166250000000005,34.176249999999996,34.1875,34.196875,34.206250000000004,34.229375000000005,34.240624999999994,34.25125,34.261250000000004,34.271875,34.399375000000006
12,605455527,307745.69,307831.175,307908.91500000004,307988.66000000003,308068.30000000005,308138.71499999997,308210.93,308361.9,308469.26,308567.51499999996,308662.635,308761.825,308888.62,309037.28500000003,309165.76,0,0,309735.1,309812.42,309887.325,309960.205,310039.97000000003,310123.105,310208.22000000003,310655.595,310741.65,310865.395,310991.18,311142.145,311291.845,311446.86,311608.57,311758.57999999996,312035.58999999997,312184.49,312352.70999999996,313968.63499999995,314092.765,314222.73,314351.55,314481.47000000003,314589.215,314690.54000000004,314804.8,314878.38,314995.995,315110.925,315235.19000000006,315356.355,315461.525,315584.95,315700.745,315822.535,316060.87,316183.09,316292.935,316413.105,316560.76,317632.245
13,605456304,26436.79625,26436.800000000003,26436.803125,26436.806875000002,26436.81,26436.813125,26436.816875,26436.823125000003,26436.8275,26436.831250000003,26436.835,26436.838750000003,26436.84375,26436.85,26436.855625000004,0,0,26436.88125,26436.884375,26436.8875,26436.890625,26436.894375,26436.8975,26436.901875,26436.921875,26436.925625,26436.930625,26436.935,26436.94125,26436.947500000002,26436.954375,26436.96125,26436.9675,26436.979375,26436.985625,26436.9925,26437.061875,26437.066874999997,26437.0725,26437.078125,26437.083749999998,26437.08875,26437.09375,26437.098749999997,26437.101875,26437.106874999998,26437.111875,26437.1175,26437.122499999998,26437.1275,26437.1325,26437.1375,26437.143125,26437.153124999997,26437.158750000002,26437.163125,26437.168749999997,26437.175000000003,26437.21875
14,605457191,39733.5775,39736.935,39739.91125,39743.0525,39746.1,39748.6475,39752.2475,39755.625,39758.7425,39761.854375,39765.0725,39768.063125,39771.14125,39774.646875000006,39777.539375,0,0,39792.028125,39794.641875,39797.34,39799.99625,39802.69625,39805.427500000005,39808.21625,39824.611875,39827.605625,39829.9025,39831.96125,39834.638750000006,39836.89124999999,39839.394375,39841.938749999994,39845.1225,39849.60187499999,39852.945625,39856.13250000001,39889.369375,39892.26125,39895.52374999999,39898.483125,39901.541875,39903.785625000004,39906.08,39908.700625,39910.121250000004,39912.83625000001,39915.42125,39918.345625,39920.969999999994,39923.385625,39926.248125,39928.918125000004,39931.739375,39936.90812500001,39939.5775,39941.92875,39944.87625,39947.74,39991.119375
15,605458978,619679.0,619897.9500000001,620113.71,620319.6699999999,620504.21,620676.61,620838.21,621023.0,621193.87,621374.8300000001,621586.6799999999,621806.87,622004.49,622212.39,622379.53,0,0,623353.9299999999,623353.95,623353.97,623510.98,623671.6799999999,623868.11,624037.37,624969.65,625184.36,625360.93,625567.89,625748.9500000001,625899.3099999999,626105.76,626312.4199999999,626492.24,626952.8300000001,627196.38,627492.37,630254.7,630479.04,630707.76,630986.05,631234.5900000001,631380.98,631522.23,631746.39,631869.17,632061.6699999999,632228.72,632407.73,632547.4199999999,632685.47,632843.52,632981.03,633168.96,633574.87,633775.0,633972.77,634172.3,634393.51,637360.15
16,605459755,201124.2825,200910.74,200975.5675,201055.3275,201140.05250000002,201206.6025,201274.9525,201343.06000000003,201420.75,201493.24,201570.1375,201648.15,201716.35249999998,201789.9625,201873.23,0,0,202260.86250000002,202331.3675,202396.0725,202465.81,202534.2925,202614.2925,202698.4225,203025.4775,203107.3675,203193.255,203267.715,203341.8975,203418.56250000003,203503.97250000003,203595.97,203681.97,203837.605,203920.82,203609.8675,204362.0,204430.0525,204498.315,204570.415,204646.40000000002,204700.1975,204749.975,204813.0025,204848.22499999998,204913.29249999998,204979.49,205058.105,205132.2525,205194.42750000002,205266.445,205326.48750000002,205386.375,205527.47,205597.34999999998,205660.7625,205724.285,205792.45,206053.5675
17,605460591,389493.11,389685.22,389857.80000000005,390048.55,390248.77999999997,390419.9,390581.54000000004,390754.01999999996,390933.02,391112.17,391302.73,391491.57999999996,391661.27,391837.9,392042.02999999997,0,0,392993.65,393169.68,393344.62,393510.9,393687.05,393884.31000000006,394091.56999999995,395242.74,395446.64,395662.49,395835.64,396012.66000000003,396190.59,396393.66,396606.17000000004,396813.83999999997,397202.17000000004,397409.18,397631.36,399776.23,399937.67999999993,400103.72,400276.23000000004,400455.57,400602.99,400753.65,400915.27,401020.65,401175.31,401334.16,401512.11,401684.6,401833.4,402001.82999999996,402154.01,402317.39,402651.96,402820.4,402973.46,403127.5,403296.02999999997,405659.4600000001
18,605461378,203264.73,203388.32,203530.99,203671.135,203816.25,203964.725,204106.14,204245.23500000002,204390.285,204533.365,204688.15,204843.34500000003,205009.41999999998,205153.46,205298.96000000002,0,0,206002.445,206155.565,206299.695,206446.96999999997,206598.31,206728.45,206914.715,207803.69,207956.315,208112.90500000003,208231.62,208384.91,208528.47999999998,208668.815,208812.665,208965.745,209264.29,209428.52500000002,209585.735,211537.12,211682.59,211831.555,211987.06,212131.285,212271.58000000002,212420.845,212567.445,212642.71000000002,212774.72,212913.075,213043.975,213150.90000000002,213277.275,213395.36000000002,213507.405,213614.775,213826.17,213937.22,214063.675,214167.325,214274.02,215937.135
19,605462155,7913.175625,7936.54625,7958.733125000001,7981.936875,8007.873750000001,8034.909374999999,8059.25,8080.790625000001,8101.846874999999,8123.994375,8147.5575,8177.600625,8212.265,8234.29375,8256.701875,0,0,8380.81625,8402.54375,8424.433125,8447.639374999999,8470.618125,8494.35625,8522.1,8661.10625,8686.07,8712.61,8731.875625,8752.98875,8774.605,8798.061249999999,8819.971875,8844.525000000001,8892.97625,8916.978749999998,8941.226875,9223.34,9244.953125,9266.161875,9287.283749999999,9308.20125,9331.170624999999,9353.1675,9377.450625,9391.626875,9410.942500000001,9430.435625,9451.557499999999,9474.36375,9498.190625,9518.786250000001,9538.804375,9558.195,9596.106875,9619.751875,9645.100625,9663.204375,9681.2,9973.057499999999
20,605463932,27779.949374999997,27824.682500000003,27868.71875,27914.675625,27959.73,27999.13,28042.205625000002,28088.2375,28137.419374999998,28192.48,28233.877500000002,28283.542500000003,28326.06375,28370.901250000003,28420.4075,0,0,28621.275625000002,28660.094999999998,28697.966875,28734.600625,28775.888124999998,28823.416875,28867.19375,29117.895625,29156.823750000003,29194.774999999998,29227.966875,29261.67375,29300.73625,29340.693750000002,29383.27375,29426.339375000003,29495.403749999998,29538.453125,29582.674375,30025.515625,30058.51375,30096.213125000002,30132.146249999998,30168.895624999997,30199.8425,30229.988125,30266.299375000002,30282.108125,30312.98625,30344.864374999997,30383.19375,30416.22,30444.845625,30477.805625,30512.721249999995,30548.243125,30615.451875,30649.791875,30684.2125,30715.776249999995,30759.950624999998,31366.32125
21,605464719,993371.1599999999,993552.28,993701.74,993865.1200000001,994024.96,994190.72,994353.28,994511.1599999999,994689.58,994857.5599999999,995018.48,995187.02,995363.12,995482.8,995616.76,0,0,996558.0,996721.04,996899.28,997054.32,997265.2799999999,997446.12,997577.78,998379.8599999999,998491.38,998609.6799999999,998707.9400000002,998818.0,998925.76,999036.6399999999,999152.08,999271.24,999541.6200000001,999748.8799999999,999973.98,1921.6125000000002,2061.35625,2212.715625,2384.8968750000004,2541.39375,2679.5531250000004,2816.4375,2973.95625,3065.79375,3205.2000000000003,3343.9593750000004,3483.1124999999997,3618.9937499999996,3760.6781250000004,3900.8718750000003,4043.5593750000003,4215.515625,4510.359375,4638.234375,4761.159374999999,4905.075000000001,5067.4125,7190.71875
22,606562771,116127.715,116127.7975,116127.88750000001,116127.9975,116128.11,116128.1875,116128.28499999999,116128.3875,116128.495,116128.585,116128.6825,116128.77,116128.85999999999,116128.95999999999,116129.04000000001,0,0,116129.5675,116129.6875,116129.815,116129.9025,116129.98249999998,116130.0875,116130.20000000001,116130.7975,116130.89749999999,116130.9875,116131.08499999999,116131.1825,116131.26999999999,116131.35999999999,116131.47750000001,116131.58499999999,116131.805,116131.91500000001,116132.03,116133.1675,116133.2525,116133.35,116133.45000000001,116133.54999999999,116133.63249999999,116133.70999999999,116133.7975,116133.85,116133.94,116134.0025,116134.09,116134.17749999999,116134.2525,116134.33500000002,116134.405,116134.4725,116134.63500000001,116134.70999999999,116134.7875,116134.86000000002,116134.93,116136.04750000002
23,606563558,49910.125,49942.890625,49973.975000000006,50006.871875,50040.4975,50078.03874999999,50114.005000000005,50141.866875,50164.80375,50198.193750000006,50232.713749999995,50269.90625,50310.0925,50343.82625,50376.563125,0,0,50557.615000000005,50592.832500000004,50626.916249999995,50659.9075,50692.4425,50729.76875,50776.375,51006.220625,51045.089375,51088.970625,51120.918125,51159.038125,51195.994999999995,51233.426875,51273.900624999995,51316.49125000001,51397.023125,51438.53875,51477.575625,51979.873125,52016.873125,52057.0275,52095.303125,52134.7775,52171.816875000004,52210.244374999995,52250.776874999996,52270.84125,52306.614375,52342.296875,52381.018125,52419.64125,52459.5925,52496.837499999994,52533.991875,52571.281875,52642.841875,52681.451875,52723.580625,52758.694375,52796.261875,53352.619374999995
24,606564335,197454.64875,197732.59,198032.78249999997,198376.59874999998,198736.88375,199012.555,199310.72875,199634.45,199967.2975,200246.07124999998,200550.645,200837.64875,201122.06625,201426.0075,201693.035,0,0,203374.87875,203767.16499999998,204160.4525,204444.08250000002,204691.16375,205026.81125,205375.67375,207269.9575,207587.92624999996,207890.82625,208193.13124999998,208501.66749999998,208779.6925,209070.9825,209425.2025,209786.0725,210478.45875000002,210827.77875,211175.1725,214776.31,215064.32,215362.095,215689.625,215996.31749999998,216264.79499999998,216515.81,216799.04499999998,216966.22499999998,217243.08500000002,217468.98,217751.9275,218029.93750000003,218284.15500000003,218549.17250000002,218791.78749999998,219025.9925,219548.99500000002,219803.2275,220066.46750000003,220305.3375,220536.0425,224233.3975
25,606565012,14689.115000000002,14689.25,14689.381875,14689.523125,14689.66375,14689.7925,14689.925,14690.0625,14690.204375000001,14690.33625,14690.476875,14690.61625,14690.75,14690.892500000002,14691.024375,0,0,14691.750625,14691.894375,14692.035,14692.168125,14692.299374999999,14692.4525,14692.606875,14693.42875,14693.581875,14693.7225,14693.855,14693.993124999999,14694.1375,14694.279375,14694.43125,14694.584374999999,14694.883749999999,14695.0375,14695.19875,14696.7525,14696.885625,14697.020625000001,14697.16,14697.3,14697.43375,14697.558125,14697.69,14697.76625,14697.89875,14698.02625,14698.1625,14698.299374999999,14698.425,14698.558125,14698.689375,14698.81875,14699.0825,14699.213124999998,14699.338125,14699.467499999999,14699.596875,14701.508125
