,NIC,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-07,2022-02-08,2022-02-14,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-27
11,605458978,0,0,0,0,0,0,0,0,0,0,0,581851.07,582013.67,582217.36,582404.21,582623.11,582758.53,582882.8699999999,583026.94,583145.8200000001,584268.54,584415.26,584592.84,584765.96,584894.1599999999,589348.99
12,605459755,0,0,0,0,0,0,0,0,0,0,0,184997.5575,185071.9225,185149.45500000002,185224.88,185300.8125,185374.465,185450.22749999998,185532.73500000002,185601.875,186116.04499999998,186185.2525,186264.805,186340.80500000002,186419.0425,188538.42750000002
13,605460591,0,0,0,0,0,0,0,0,0,0,0,350833.21,350953.39,351077.08,351209.07,351331.92,351455.33,351587.39999999997,351722.3,351834.23,352661.76,352776.79,352906.25,353028.53,353154.27999999997,356615.7
14,605461378,0,0,0,0,0,0,0,0,0,0,0,172244.8475,172382.725,172509.8375,172631.41999999998,172749.96500000003,172869.6875,172986.64250000002,173107.91,173230.5525,173952.68,174067.66499999998,174182.575,174294.52,174408.28,177457.905
15,605462155,7527.8825,7527.889375,7527.895625,7527.9025,7527.909375,7527.916875,7527.924375,7527.931875,7527.95125,0,7527.993125,7528.143749999999,7528.149375000001,7528.155624999999,7528.161249999999,7528.166875000001,7528.172500000001,7528.178125,7528.183125,7528.188125000001,7528.2075,7528.2075,7528.2075,7528.2075,7528.2075,7528.2075
16,605463932,19365.2125,19383.640625,19403.465624999997,19421.053125,19442.135000000002,19462.950624999998,19484.670625,19507.025625000002,19557.06375,0,19675.95,20071.52875,20084.293125,20102.19625,20117.760625,20131.901250000003,20146.233125,20160.63125,20171.665625,20183.2,20229.021249999998,20229.68375,20230.365625,20232.711875,20233.369375000002,20238.79
17,605464719,944368.14,944490.58,944619.62,944751.2999999999,944865.02,944974.14,945088.8999999999,945200.26,945729.52,0,946885.28,952078.1000000001,952261.72,952443.0800000001,952617.6799999999,952830.5999999999,952996.56,953202.76,953368.7999999999,953548.54,954750.52,954935.08,955108.02,955273.24,955451.12,960351.1799999999
18,606562771,116101.9375,116102.04999999999,116102.1775,116102.3125,116102.43000000001,116102.53,116102.635,116102.7625,116102.995,116103.065,116103.6125,116106.0575,116106.1775,116106.32999999999,116106.435,116106.55500000001,116106.67749999999,116106.7775,116106.92,116107.025,116107.815,116107.93,116108.0475,116108.175,116108.2875,116111.7825
19,606563558,40045.285625,40080.841875,40121.041249999995,40163.269375,40200.75,40237.411875000005,40272.708125,40308.52375,40429.363125,0,40694.46875,41194.594375,41214.05625,41227.975625,41252.399375,41269.16375,41307.424375,41344.943750000006,41384.8,41426.383125,41663.4525,41704.451875,41742.795,41779.75874999999,41818.654375,42949.686875
20,606564335,323177.72000000003,323505.5,323848.99,324223.31,324558.86,324850.09,325166.18,325521.87,326235.72000000003,326454.63,328079.41000000003,136746.315,137079.915,137486.48187500003,137797.098125,138129.1225,138471.28125,138756.93312499998,139038.4875,139250.57687499997,140774.89187499997,140996.641875,141231.66749999998,141476.46375,141703.233125,148503.96125
21,606565012,14649.865624999999,14650.014374999999,14650.16625,14650.30875,14650.4525,14650.594375,14650.736875,14650.8875,14651.3125,14651.45375,14652.310625,14656.1625,14656.30625,14656.46625,14656.609375,14656.758125,14656.901875,14657.032500000001,14657.180625,14657.3175,14658.21125,14658.339375,14658.489375000001,14658.625625,14658.768125,14662.779375
22,606566809,243273.72000000003,243289.15999999997,243299.46999999997,243308.16500000004,243318.445,243328.2,243339.27500000002,243349.59499999997,243379.84499999997,0,243476.54499999998,243838.37,243848.28,243859.41499999998,243870.005,243881.41000000003,243936.90499999997,244000.54000000004,244061.075,244105.815,244473.18,244515.92,244550.64500000002,244585.91500000004,244635.50999999998,246051.425
23,606567686,450346.82,450456.71,450566.09,450654.94,450754.76,450861.31,450964.89,451074.95,451387.59,451492.01000000007,452140.07,454970.54,455068.45,455177.21,455281.18,455385.7,455488.4,430022.68,430168.07,430305.91,431216.99,431329.38,431485.82999999996,431616.11,431766.29,435865.94
24,606568463,99202.22875,99216.48749999999,99229.89374999999,99241.65,99255.7525,99267.80875,99280.10625,99292.04375,99324.65625,0,99411.82625,99737.175,99750.755,99755.8575,99760.41625,99768.00125,99776.73624999999,99790.1825,99790.21375,99790.2425,99790.43625,99790.46375,99790.485,99790.50875000001,99790.53375,99791.38750000001
25,606569240,49779.149375,49807.945,49828.030000000006,49843.494375,49861.39625,49876.05,49891.935625,49910.081875,49971.467500000006,0,50090.438749999994,50523.918125000004,50541.490625000006,50557.462499999994,50572.85375,50586.285625,50601.36875000001,50614.946875,50639.57,50651.801875,50753.435000000005,50765.909375,50779.21125,50794.46875,50809.880625000005,51221.065
26,606570086,114427.1425,114446.8075,114467.318125,114484.71625,114502.05125,114519.91875,114538.345,114557.25562499999,114613.44062500002,0,114735.36875,115231.84625,115248.0475,115268.01062500001,115286.00125,115305.41,115323.97125,115343.873125,115363.3925,115379.390625,115485.909375,115501.23625,115518.44625000001,115535.32875,115553.825625,116057.44687500001
27,606571863,269563.53500000003,269629.89,269702.555,269768.17,269837.83499999996,269907.775,269977.45499999996,270045.375,270240.22,0,270692.68,272334.925,272387.58,272447.02,272505.535,272568.58,272620.225,272677.315,272745.155,272803.725,273154.53500000003,273198.14999999997,273248.145,273311.3,273383.58,275051.975
28,606572640,4433.115625,4434.108749999999,4435.79625,4437.1875,4438.253125,4439.815625,4441.315,4442.925625,4447.561875,0,4455.29,4491.970625,4493.25875,4493.919375,4495.49,4496.951875,4498.488124999999,4500.163125,4501.844375,4503.406875,4511.89625,4512.40375,4513.843125,4515.264375,4516.76,4550.81
29,606573427,63523.65625,63560.56375,63597.53874999999,63620.19,63651.85,63680.53875,63699.2625,63726.92125,63821.015,0,63984.83624999999,64522.86875,64541.015,64554.7275,64564.50625,64599.131250000006,64623.167499999996,64650.1425,64665.77375,64692.33875,64806.667499999996,64824.02,64830.56375,64860.95,64877.674999999996,65462.70875
30,606574204,188766.365,188838.81499999997,188921.015,188974.83000000002,189051.145,189123.685,189216.025,189321.6,189582.67500000002,0,190002.05000000002,191521.11000000002,191571.08500000002,191632.02499999997,191686.315,191736.58,191782.15,191832.43000000002,191887.415,191929.625,192293.925,192329.81,192373.75999999998,192424.685,192475.91999999998,194139.64
31,606575991,78365.25625,78369.74,78378.03,78378.7775,78382.02875,78388.8825,78389.62875,78390.3725,78401.00625,0,78429.14499999999,78787.07375,78805.31875,78834.43875,78860.45875,78884.81875,78906.5475,78925.245,78945.21625,78960.84,79120.565,79131.3075,79151.7325,79179.68125,79202.57250000001,79845.12125
32,606576778,107429.0375,107483.88500000001,107531.82500000001,107571.54500000001,107618.135,107665.67,107709.495,107754.63,107880.53,0,108174.54749999999,109336.34999999999,109374.16750000001,109417.5825,109460.03499999999,109502.66,109545.37,109592.60499999998,109636.9425,109675.66500000001,109931.9075,109967.32500000001,110011.5875,110054.64000000001,110096.645,111263.6525
33,606577555,45708.806875,45725.130625,45748.119375,45774.273125,45805.688125,45816.764375,45826.68375,45834.821875,45880.640625,0,45974.095,46522.345625,46547.455625,46571.431874999995,46595.219375,46610.840625000004,46621.566249999996,46636.41375,46667.506875,46685.47625,46811.598125000004,46831.909375,46846.457500000004,46857.1425,46879.2825,47357.454999999994
34,606578332,14.424375,14.427499999999998,14.430625000000001,14.434375,14.438749999999999,14.44125,14.44375,14.44625,14.454374999999999,0,14.4725,14.641250000000001,14.648750000000001,14.664375,14.675,14.685625000000002,14.69125,14.696875,14.705625,14.71375,14.780000000000001,14.785625,14.794374999999999,14.803749999999999,14.810625,15.07625
35,606579119,153506.65250000003,153551.035,153587.45,153627.48,153676.9425,153720.445,153756.93,153797.71000000002,153937.245,0,154252.44,155370.91249999998,155390.5925,155410.0575,155429.3625,155448.7525,155471.575,155514.03,155562.6925,155614.13,155904.92250000002,155953.805,155998.45,156042.995,156087.885,157311.6825
36,606580955,1753.141875,1753.141875,1753.141875,1753.141875,1753.141875,1753.141875,1753.141875,1753.141875,1753.141875,0,1753.141875,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.1437499999997,1753.1437499999997
37,606581732,319188.92000000004,319259.62,319323.87,319374.2,319435.59,319500.85,319567.02,319644.05,319816.15,0,320318.16,322343.9,322427.97,322525.88,322612.61,322670.87,322713.25,322805.34,322897.44,322979.47,323533.16,323606.72000000003,323696.6,323785.73,323866.49,326084.47
38,606582519,145795.5125,145818.885,145844.0575,145871.3875,145890.45750000002,145912.97,145931.8775,145954.2825,146023.4075,0,146190.06,146915.43,146935.95500000002,146959.15,146981.45,147003.125,147025.93,147043.375,147073.16,147102.155,147265.115,147293.625,147316.93,147340.23,147370.62,147982.03999999998
39,606583306,58951.06,58980.87875,59010.7375,59038.020000000004,59067.62625,59096.7325,59126.375,59158.619999999995,59249.905,0,59459.0575,60232.6875,60256.04125,60285.9525,60315.03375,60343.4725,60371.472499999996,60400.05125,60429.39624999999,60449.13374999999,60638.1,60662.575,60691.92875000001,60720.93250000001,60749.95625,61476.29625
