,NIC,2024-04-29,2024-04-30,2024-05-01,2024-05-02,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-18,2024-05-19,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-25,2024-05-26,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28
11,605454840,39.900625,39.91375,39.929375,39.9425,39.971875,39.9875,40.0,40.01375,40.03,40.044375,40.058125000000004,40.074375,40.0925,40.10625,40.120625,40.134375,40.176874999999995,40.191874999999996,40.205625,40.221250000000005,40.23625,40.24875,40.26375,40.27875,40.2925,40.30500000000001,40.31875,40.333124999999995,40.345,40.35875,40.374375,40.391875,40.405,40.418125,40.60875,40.621875,40.635,40.64875,40.66374999999999,40.669375,40.683125,40.6875,40.704375,40.718125,40.734375
12,605455527,191343.186875,191369.87000000002,191395.85374999998,191419.3975,191471.70437499997,191501.048125,191523.75125,191552.375,191579.27874999997,191604.481875,191627.78499999997,191655.84875,191688.953125,191717.45687499997,191742.7,191768.323125,191845.833125,191863.69499999998,191888.97875,191918.1825,191945.66562500002,191974.12937500002,192001.37312499998,192030.516875,192056.49999999997,192079.603125,192105.56625,192132.149375,192150.5925,192155.854375,192163.03562500002,192186.518125,192216.98125,192239.564375,192633.58875,192656.650625,192681.093125,192707.955625,192737.81937500002,192766.8625,192793.14562499998,192817.86875,192847.451875,192876.495,192906.618125
13,605456304,201902.05625000002,201947.38625000004,201992.93625000003,202033.90625,202122.90625,202173.13625000004,202211.03625,202259.35625,202305.07624999998,202347.44624999998,202384.45625,202431.37625000003,202485.95625,202534.7475,202578.1775,202621.16749999998,202751.7475,202778.47749999998,202820.71750000003,202869.08749999997,202914.70750000002,202961.6875,203006.9975,203054.9875,203096.3775,203134.38875,203177.29875,203221.58875,203251.31875,203260.35874999998,203271.08874999997,203305.70874999996,203352.74875,203384.31874999998,203974.66874999998,204008.56875,204043.21,204083.21999999997,204127.76,204170.27999999997,204209.51,204244.97999999998,204290.03999999998,204333.34999999998,204378.90999999997
14,605457191,40717.455,40719.03375,40720.50750000001,40721.65875,40724.58125,40726.05375000001,40727.215000000004,40728.7825,40730.35375000001,40732.025,40733.7125,40735.21000000001,40736.723750000005,40737.733125,40738.7975,40740.112499999996,40743.971249999995,40745.28625,40746.3325,40747.579999999994,40748.969999999994,40750.38375,40751.7875,40753.23125,40754.62374999999,40755.620625,40756.899375,40758.166875,40759.479375,40760.801875,40762.0725,40763.325625,40764.346874999996,40765.373125,40783.831874999996,40784.866875,40786.253749999996,40787.514375000006,40788.84312500001,40790.408125,40791.429375,40792.721875,40794.016875,40795.306875,40796.991875
15,605458978,583695.3,583884.81,584072.64,584260.3400000001,584635.93,584826.01,749399.04,749647.78,749906.9199999999,750149.9199999999,750368.0,750619.94,750883.84,751136.34,751396.24,751642.98,752382.1000000001,752633.04,752897.54,753155.9199999999,753417.12,753674.74,753936.8400000001,754192.3600000001,754419.1799999999,754647.8,754900.94,755162.46,755375.84,755623.72,755883.0,756151.4199999999,756419.0800000001,756679.6799999999,760120.9400000001,760316.36,760552.76,760798.2,760994.36,761190.0,761383.38,761581.36,761789.04,761998.4,762206.5800000001
16,605459755,397884.575,397974.125,398108.175,398212.04000000004,398441.06500000006,398551.69,234238.70500000002,234307.72999999998,234391.10499999998,234463.155,234535.065,234615.61500000002,234552.475,234624.265,234671.795,234729.59000000003,234863.65000000002,234938.49,235008.67,235087.665,235159.39,235230.885,235305.07,235382.935,235453.005,235517.45500000002,235590.64500000002,235663.34,235727.47000000003,235802.195,235761.13,235845.87,235915.725,235988.9,236649.53,236670.2,236696.51499999998,236721.85,236748.835,236775.49,236799.27,236824.29,236852.97000000003,236876.24500000002,236902.79499999998
17,605460591,382718.14,382845.94,382982.61,383108.56499999994,383379.4,383518.905,485629.52,485797.27,486001.16000000003,486177.46,486357.0,486562.81,486778.39,486953.79,487130.97,487308.77,487855.37,488042.64,488212.54000000004,488409.94,488588.69,488764.32,488942.08999999997,489131.24,489313.85,489473.16,489656.99,489838.56999999995,490008.26,490196.56000000006,490400.36000000004,490616.75999999995,490789.35,490965.5,493662.73,493825.86000000004,494002.44,494190.44,494387.56,494570.7,494749.41,494951.26,495169.72000000003,495353.95,495566.25
18,605461378,261514.07,261612.8,261717.52,261816.92,262025.07,262132.75999999998,264357.325,264449.51,264531.08499999996,264621.0,264706.41,264794.14,264894.19,264994.795,265092.47,265182.03,265435.615,265532.89,265630.76999999996,265725.06999999995,265820.385,265912.91000000003,266008.375,266105.47000000003,266203.54500000004,266301.065,266392.545,266484.8,266574.345,266664.275,266763.365,266865.95,266967.145,267069.45,268341.42500000005,268351.265,268447.9,268545.975,268649.43,268751.455,268858.255,268958.82,269061.54500000004,269167.995,269281.2
19,605462155,0,0,0,0,0,19010.28875,19033.713750000003,19051.855625000004,19070.315625,19086.753750000003,19104.165625,19122.8125,19144.31125,19167.6,19190.515,19208.50625,19261.458124999997,19282.2725,19304.96875,19321.8275,19339.2275,19356.38875,19373.7675,19392.44625,19411.113749999997,19433.7875,19450.541250000002,19467.625,19484.4075,19502.159375000003,19522.85875,19543.985625,19568.54375,19591.83375,19874.831250000003,19891.11625,19908.278749999998,19926.981249999997,19947.060625,19968.71,19992.070625,20011.208749999998,20031.245625000003,20051.791250000002,20072.2175
20,605463932,0,0,0,0,0,55035.8125,55071.340000000004,55102.151249999995,55151.43125,55193.53125,55237.354999999996,55287.5875,55345.82125,55392.97625,55443.902500000004,55507.29125,55680.28,55736.93,55790.05,55847.005000000005,55913.70375,55980.23625,56057.57000000001,56109.5475,56169.618749999994,56226.167499999996,56274.59,56336.4275,56391.0,56445.62625,56513.18625,56576.8725,56629.23375,56680.283749999995,57471.535,57510.205,57565.64,57621.45625,57675.465,57727.16875,57777.1375,57828.0675,57888.39375,57938.765,57994.880000000005
21,605464719,0,0,0,0,0,79633.50749999999,79767.39749999999,79950.4425,80141.5275,80322.4425,80501.0775,80697.4725,80876.1075,81084.2025,81285.72750000001,81480.6075,82038.6825,82239.8025,82411.4325,82585.47750000001,82808.3175,83003.4825,83200.9275,83415.00749999999,83549.0025,83681.8725,83837.27249999999,84032.4525,84198.36750000001,84372.00749999999,84551.9475,84754.4025,84969.9075,85176.6825,87722.8425,87873.72750000001,88047.8025,88224.6075,88415.24250000001,88607.8725,88804.6725,88972.50749999999,89141.0025,89315.0775,89495.8725
22,606562771,0,0,0,0,0,0,116178.775,116178.8675,116178.9625,116179.06,116179.14499999999,116179.23499999999,116179.33750000001,116179.44,116179.54999999999,116179.6375,116179.91,116180.005,116180.09999999999,116180.19,116180.29000000001,116180.37749999999,116180.4875,116180.605,116180.6925,116180.78,116180.8675,116180.95749999999,116181.04750000002,116181.1375,116181.20999999999,116181.315,116181.42000000001,116181.53,116182.7925,116182.85750000001,116182.9475,116183.04999999999,116183.14499999999,116183.22,116183.29750000002,116183.3675,116183.45,116183.53,116183.60999999999
23,606563558,0,0,0,0,0,0,69954.85375000001,69989.71375,70024.76874999999,70058.94375,70092.48125,70126.61624999999,70165.83625,70206.81625,70246.35875,70281.8825,70389.14875,70427.7375,70468.44625000001,70504.83375,70541.41875000001,70577.4075,70613.12625,70649.755,70688.16750000001,70726.97750000001,70762.59,70798.37125,70833.43,70869.7425,70908.00125,70949.7525,70991.015,71032.4125,71584.57500000001,71607.55249999999,71644.51375,71681.96875,71719.375,71758.025,71798.6575,71836.56625,71875.655,71916.02625,71954.95874999999
