,NIC,2022-10-23,2022-10-24,2022-10-25,2022-10-26,2022-10-27,2022-10-28,2022-10-29,2022-10-30,2022-10-31,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-08,2022-11-09
11,605454840,33.53125,33.531875,33.531875,33.53375,33.534375,33.534375,33.534375,33.534375,33.534375,33.534375,33.534375,33.534375,33.534375,33.534375,33.534375,33.534375,33.534375,33.54
12,605455527,306381.55000000005,306453.92,306562.83,306667.125,306701.33,306760.955,306841.635,306923.075,306996.33499999996,307097.83999999997,307190.885,307266.07,307345.585,307431.04,307514.16500000004,307584.935,307658.755,307745.69
13,605456304,26436.73625,26436.739375,26436.74375,26436.74875,26436.75,26436.753750000003,26436.756875,26436.760625000003,26436.76375,26436.7675,26436.771875,26436.775,26436.778125,26436.781875,26436.785625,26436.78875,26436.792500000003,26436.79625
14,605457191,39680.4375,39682.889375,39685.869374999995,39689.010625,39691.439999999995,39694.585625,39698.07,39701.04875,39704.4,39708.314999999995,39712.04,39715.722499999996,39718.80125,39721.7175,39724.668750000004,39727.26125,39730.1075,39733.5775
15,605458978,617218.33,617357.78,617495.48,617640.34,617782.76,617923.03,618071.23,618223.23,618357.09,618560.37,618806.37,618928.1599999999,619047.0800000001,619181.13,619288.74,619390.68,619496.1699999999,619679.0
16,605459755,200250.61250000002,200263.4375,200276.6,200289.85,200303.515,200364.34,200430.44999999998,200495.055,200554.955,200617.125,200682.185,200746.45500000002,200810.08000000002,200875.865,200939.215,200996.91499999998,201053.4425,201124.2825
17,605460591,386530.34,386692.02,386864.95,387043.02999999997,387205.07999999996,387376.42,387564.71,387745.96,387910.32999999996,388083.65,388267.69,388454.14999999997,388631.98000000004,388818.51,388998.21,389161.83,389322.88,389493.11
18,605461378,200871.59999999998,201018.04499999998,201146.01,201281.84999999998,201406.0,201544.175,201683.765,201829.07,201991.14999999997,202128.18,202275.40500000003,202407.325,202546.39,202679.94,202822.365,202977.89500000002,203123.45,203264.73
19,605462155,7531.489375,7531.63,7537.650625,7564.243125,7582.334375,7601.38875,7623.858749999999,7650.535625,7679.695625,7706.601875,7730.373750000001,7751.594375000001,7778.81625,7801.843124999999,7830.779375,7860.615,7889.445,7913.175625
20,605463932,27072.229375000003,27108.652499999997,27152.75125,27201.499375,27238.569375,27283.54625,27326.83625,27368.490625,27404.978125,27445.9025,27485.28,27529.699999999997,27575.625625,27616.18,27656.638125,27694.631250000002,27734.377500000002,27779.949374999997
21,605464719,990343.1200000001,990589.48,990796.1200000001,991035.8400000001,991218.22,991394.76,991556.36,991723.28,991885.04,992044.0800000001,992209.44,992374.3999999999,992524.3999999999,992683.9199999999,992842.24,993013.04,993181.0800000001,993371.1599999999
22,606562771,116126.42500000002,116126.47750000001,116126.53,116126.5825,116126.63,116126.6825,116126.7475,116126.84,116126.94,116127.035,116127.13750000001,116127.2225,116127.3025,116127.375,116127.46750000001,116127.54499999998,116127.63500000001,116127.715
23,606563558,49332.5975,49371.885,49403.990625000006,49436.176875000005,49466.401249999995,49498.4575,49529.83687499999,49563.666249999995,49603.24375,49640.595,49673.3425,49703.818125000005,49735.901249999995,49768.692500000005,49803.18875,49840.1725,49877.969375,49910.125
24,606564335,193151.8275,193335.73625000002,193542.60125,193733.70500000002,193898.9275,194096.38624999998,194328.48500000002,194636.59249999997,194952.53874999998,195250.33375000002,195575.07125,195841.6275,196114.82624999998,196349.61125000002,196638.10000000003,196887.74,197184.50375,197454.64875
