,NIC,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-23,2023-12-24,2023-12-25,2023-12-28,2023-12-29,2023-12-30,2023-12-31,2024-01-01,2024-01-02,2024-01-09,2024-01-10,2024-01-20,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-11,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-18,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27,2024-02-28,2024-03-07
14,605457191,40531.057499999995,40531.644374999996,40533.255,40534.457500000004,40535.919375,40542.24312499999,40543.831875,40545.5025,40548.76625,40550.408125,40551.96875,40553.44437500001,40554.480625,40554.480625,40570.156875,40571.616875,40580.604375,40583.701875,40585.30875,40587.075625,40587.901875,40588.854999999996,40590.53062500001,40591.778125,40592.551875,40594.089374999996,40595.685625,40597.261875000004,40613.75875,40615.098125000004,40616.924999999996,40618.496250000004,40620.067500000005,40621.515,40622.913125,40624.37125,40626.084375,40627.71625,40629.3825,40630.58,40631.851875,40633.24875,40634.819375,40636.134375,40637.449375000004,40638.685,40650.421875
15,605458978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727812.78,0
16,605459755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230460.485,0
17,605460591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473778.75,0
18,605461378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257699.85499999998,0
19,605462155,16203.279999999999,16212.877499999999,16233.760624999999,16257.399375,16276.3225,16361.861875,16386.596250000002,16408.215624999997,16472.341875,16493.890625,16515.98,16539.875625,16561.724375,16581.100625,16802.905,16824.28,16949.55875,16993.955,17011.284375,0,17046.464375000003,17064.442499999997,17083.37375,17103.219375,17125.62375,17144.64125,17162.80125,17181.236875,17373.98875,17396.349374999998,17413.124375,17430.969375,17448.583749999998,17465.840625,17483.188125,17505.18375,0,17547.290625,17566.940625,17584.373125,17598.333125,17617.748125,17640.3525,17665.052499999998,17684.125,17702.368125,17858.791875000003
20,605463932,47781.20625,47797.32125,47850.92125,47902.35625,47954.613750000004,48174.04875,48229.816249999996,48276.05875,48422.837499999994,48470.662500000006,48526.113750000004,48581.34625,48625.305,48628.08125,49174.786250000005,49226.38125,49573.365000000005,49675.96,49724.223750000005,0,49824.871250000004,49878.125,49929.23375,49982.47625000001,50033.35875,50095.745,50148.979999999996,50209.86125,50757.2525,50806.60875,50859.1525,50919.795,50976.146250000005,51027.441249999996,51082.15875,51141.36875000001,0,51240.005,51301.01375,51362.88625000001,51399.43875,51453.945,51510.511249999996,51560.18875,51621.37625,51671.115,52117.32
21,605464719,57852.037500000006,57925.71375,58117.799999999996,58312.676250000004,58509.23625,59311.71375,59526.83625000001,59695.556249999994,60101.549999999996,60260.756250000006,60403.912500000006,60548.831249999996,60678.674999999996,60690.037500000006,62049.23625,62197.15125,63045.9525,63327.075000000004,63466.072499999995,0,63756.112499999996,63895.912500000006,64042.5975,64207.3125,64349.2275,64497.3075,64685.1525,64878.112499999996,66337.47750000001,66470.6775,66607.4325,66748.11750000001,66917.7075,67084.875,67248.67499999999,67413.7875,0,67748.1075,67937.7525,68075.3175,68181.07500000001,68319.75,68462.4375,68600.9175,68741.3175,68871.4725,70002.15
22,606562771,116164.82749999998,116164.8725,116164.975,116165.08000000002,116165.19,116165.6325,116165.73999999999,116165.835,0,116166.2425,116166.35,116166.445,116166.535,116166.535,116167.67749999999,116167.7825,116168.43000000001,116168.645,116168.7525,116168.86249999999,116168.9575,116169.0625,116169.155,116169.25749999999,116169.37250000001,116169.465,116169.5775,116169.67749999999,116170.645,0,116170.825,116170.92,116171.01000000001,116171.1025,116171.1925,116171.29499999998,116171.38,116171.49250000001,116171.595,116171.7,116171.7775,116171.8825,116171.99250000001,116172.095,116172.19750000001,116172.29000000001,116173.10250000001
23,606563558,65449.01375,65454.6575,65471.03875,65488.56,65503.2025,65593.3375,65628.64,65662.34625,65761.83125,65794.595,65828.03875,65862.1975,65895.15125,65927.8075,66291.4675,66324.02124999999,66540.48625,66585.91875,66598.30374999999,66621.10625,66652.92749999999,66685.96625,66717.985,66754.19750000001,66790.26625,66818.46125000001,66831.65625,66858.40875,67195.27375,67229.82375,67260.45375,67292.22875000001,67324.41375,67356.5625,67388.22750000001,67423.065,67460.16750000001,67493.8425,0,67559.90375,67588.05,67621.49375,67658.0475,67695.54874999999,67728.22125,67759.66375,0
