,NIC,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,2023-11-01,2023-11-12,2023-11-13,2023-11-14,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-15
10,605457191,40428.76625,40430.068125,40431.399375,40432.410625,40433.633125,40434.870625,40436.055625,40437.540625,40438.746875,40439.9925,40440.973125,40442.332500000004,40443.56875,40444.75375,40446.295,40447.50687499999,40448.698124999995,40449.60312500001,40450.545625,40453.74312499999,40455.39,40456.87625,40458.4625,40459.718125,40461.226875,40462.75875,40464.21,40465.708125,40466.67875,40467.99375,40469.003749999996,40469.95875,40471.441875,40482.402500000004,40483.58,40484.738750000004,40486.161250000005,40487.716875,40489.18812499999,40490.826875,40492.23375,40493.30125,40494.70375,40496.3175,40497.765625,40499.248125000006,40500.701875000006,40502.154375000006,40503.335625,40505.024999999994,40506.499375,40507.93125,40509.380625,40510.759374999994,40512.229375,40513.498750000006,40531.057499999995
11,605462155,14649.420624999999,14668.173125000001,14691.376250000001,14718.516875,14738.795625,14758.810000000001,14779.725625,14798.908749999999,14818.2125,14841.2275,14866.79,14886.1425,14904.579375000001,14924.96125,14944.36375,14965.168125,14989.037499999999,15014.2275,15038.225000000002,15074.626250000001,15092.401875,15111.051875,15131.705624999999,15154.98375,15172.091875,15187.91,15206.432499999999,15223.824375,15242.036875,15263.805625,15288.659375,15305.400625,15327.459374999999,15540.50625,15564.425000000001,15586.8,15605.144999999999,15619.60875,15636.009375000001,15651.413125000001,15671.09,15693.493125,15708.387499999999,15724.74,0,15759.334374999999,15780.230000000001,15804.045,15828.925625,15848.264374999999,15866.479375,15885.5775,15905.11625,15925.02125,15948.581250000001,15973.229374999999,16203.279999999999
12,605463932,43056.4925,43124.045,43194.92125,43249.795625,43314.655625,43389.861875,43450.420625,43512.06625,43586.740625000006,43677.605625,43735.421875,43800.579375,43873.28,43945.69,44019.82875,44088.776874999996,44156.45,44215.459375,44274.7025,44422.255,44484.87125,44548.182499999995,44620.78,44698.3625,44771.01625,44844.24625,44909.4725,44968.14,45029.6475,45091.00874999999,45146.676250000004,45212.19375,45268.31625,45901.1325,45954.35625,46010.947499999995,46070.53875,46131.115,46192.9625,46254.682499999995,46314.37,46368.6975,46434.6575,46501.682499999995,0,46626.09375,46688.80875,46748.79,46801.42,46851.47750000001,46905.16875,46956.85875,47006.8825,47060.80625,47111.6775,47161.03625,47781.20625
13,605464719,44773.818750000006,44919.9375,45053.37375,45184.05,45312.899999999994,45463.29375,45637.45125,45817.256250000006,46008.037500000006,46218.975000000006,46426.21875,46628.03625,46883.55,47116.51875,47405.15625,47634.037500000006,47821.2375,48003.47625,48185.193750000006,48657.198749999996,48924.91875,49094.27625,49286.91374999999,49501.07625,49686.112499999996,49815.198749999996,49943.756250000006,50067.87375,50192.793750000004,50382.51375,50547.551250000004,50711.793750000004,50882.59875,52751.4375,52911.23625,53069.35124999999,53239.950000000004,53428.274999999994,53608.03125,53777.15625,53945.87625,54106.75125,54273.637500000004,54461.15625,0,54850.274999999994,55036.912500000006,55222.274999999994,55388.59875,55481.636249999996,55583.475000000006,55680.51375,55770.83625000001,55867.350000000006,55960.99875,56047.799999999996,57852.037500000006
14,606562771,116157.1,116157.20749999999,116157.3125,116157.41750000001,116157.5275,116157.6425,116157.7475,116157.85,116157.94750000001,116158.05249999999,116158.1625,116158.26749999999,116158.3625,116158.45500000002,116158.5575,116158.68000000001,116158.78,116158.8925,116159.0025,116159.2125,116159.3125,116159.42749999999,116159.53749999999,116159.64,116159.73250000001,116159.83499999999,116159.935,116160.0325,116160.115,116160.19750000001,116160.295,116160.395,116160.505,116161.48999999999,116161.585,116161.69249999999,116161.795,116161.89749999999,0,0,116162.17250000002,116162.2625,116162.3425,116162.4175,116162.4875,116162.57,116162.66,116162.76000000001,116162.85,116162.9325,116163.02249999999,116163.1325,116163.23,116163.33250000002,116163.4425,116163.54500000001,116164.82749999998
15,606563558,62699.42999999999,62738.308750000004,62781.87875,62824.59125,62862.72125,62900.881250000006,62938.59625,62978.84,63016.551250000004,63057.67125,63099.1825,63131.40375,63156.35125,63191.8275,63229.305,63266.745,63305.651249999995,63344.88375,0,63455.488750000004,63491.69125,63527.006250000006,63564.473750000005,63605.642499999994,63641.064999999995,63676.9075,63714.08,0,63780.9075,63820.61375,63860.895,63896.97875,63934.77625,64329.286250000005,64367.585,64405.22375,64439.57125,64472.38375,0,64539.399999999994,64575.4175,64613.51625,64647.7425,64681.7475,64715.4425,64750.0925,64784.590000000004,64821.05875,64860.253749999996,64895.418750000004,64930.46,64965.11,64998.76875,65031.965,65068.168750000004,65104.89,65449.01375
16,606564335,291549.20999999996,291889.05500000005,292204.82,292530.13,292866.5,293209.065,293531.1,293850.70499999996,294153.27499999997,294473.165,294799.24,295129.63,295411.06,295705.585,296025.73,296394.225,296705.0,297039.82,297374.25,298020.605,298322.85000000003,298668.3,298991.495,299320.45,299612.605,299925.24,300236.955,300531.785,300809.555,301073.65,301379.815,301676.32,302022.855,305168.17,305473.80000000005,305790.175,306117.555,306426.735,0,0,307294.61,307563.865,307829.705,308075.23,308310.815,308573.68,308860.115,309168.64499999996,309455.57,309728.075,310022.805,310362.145,310669.88,310995.78500000003,311319.24,311636.47,315563.26
17,606565012,14733.783125,14733.929375,14734.085000000001,14734.2275,14734.3825,14734.534375,14734.679375,14734.82625,14734.9725,14735.12625,14735.26625,14735.415,14735.557499999999,14735.704375000001,14735.85625,14736.006875,14736.158749999999,14736.301875000001,14736.448124999999,14736.755625,14736.90625,14737.063750000001,14737.21875,14737.36375,14737.48625,14737.60625,14737.739375000001,14737.8825,14738.029999999999,14738.179375,14738.32125,14738.470000000001,14738.6125,14740.2,14740.353750000002,14740.504375,14740.665625000001,14740.825625000001,0,0,14741.24,14741.36125,14741.501875,14741.646250000002,14741.791249999998,14741.940625,14742.09375,14742.25625,14742.411250000001,14742.558125,14742.70375,14742.854374999999,14743.00375,14743.156875,14743.319375,14743.46875,14745.289375
18,606566809,270046.81999999995,270104.42,270182.245,270243.225,270320.645,270405.385,270423.065,270431.185,270438.29000000004,270443.70499999996,270447.3,270450.21499999997,270453.91500000004,270456.71499999997,270467.35,270483.19,270495.725,270501.375,0,270533.75,270551.4,270571.505,270591.245,270609.875,270624.55,270646.755,270693.45499999996,0,270865.99,271005.1,271117.83499999996,271239.49,271336.415,272518.38,272617.74,272717.77999999997,272837.39,272955.56000000006,0,273203.49,273320.95999999996,273427.17000000004,273533.38,273639.4,273763.98,273884.98,274012.06,274151.05,274276.45,274375.54,274493.04000000004,274579.56,274693.96,274814.51,274949.75,275056.30000000005,276463.35
19,606567686,519833.36,520009.42000000004,520214.98,520381.24,520580.94,520766.33999999997,520940.42000000004,521118.76999999996,521301.88,521499.22000000003,521666.81000000006,521847.94,522027.92000000004,522211.52999999997,522407.7,522587.74,522780.54,522946.54000000004,523118.63,523508.49,523700.76999999996,523899.44,524096.54000000004,524270.17,524406.41,524529.86,524683.85,524863.24,525049.84,525244.0800000001,525410.78,525594.5,525757.08,527737.8600000001,527933.8400000001,528121.1900000001,528331.6599999999,528553.3300000001,0,0,529081.37,529213.97,529391.89,529582.14,529778.38,529978.3,530184.4,530405.02,530612.09,530801.15,530983.34,531168.24,531360.37,531554.58,531770.27,531958.0900000001,534282.47
